"id","type","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
72,1,0.000214478,1.27432e-05,0,-2.52331e-09,8.86011e-11,0,0.00048,0.00176939,0.146739,-0.479805,0.000946438,0.000373747,1.69816e-05
15,1,0.000411036,-2.01345e-05,0,-8.85816e-09,1.1889e-09,0,0.00054,0.0558358,0.0656547,0.0072435,0.00121231,0.00123445,1.95463e-05
14,1,0.000255011,3.17179e-05,0,-3.63054e-09,9.71873e-10,0,0.00054,0.386358,-0.199946,0.369742,2.03435e-05,0.000541267,-7.12572e-06
45,1,0.00021236,-2.7401e-05,0,-2.93265e-09,9.49468e-10,0,0.0005,4.40145e-05,-0.136306,-0.402056,0.00186483,0.000446615,-4.97566e-05
57,1,0.000410854,-7.53406e-05,0,-7.87669e-09,2.4004e-09,0,0.0005,-0.0650644,-0.0118474,-0.0610488,0.00223524,0.00131421,3.21045e-05
83,1,0.000426187,-8.33189e-05,0,-6.13673e-09,1.31081e-09,0,0.00046,0.0208418,0.00887686,0.0477375,0.00314414,0.00135362,-1.5404e-05
48,1,0.000228946,-4.66431e-06,0,-3.651e-09,-3.66473e-10,0,0.0005,-0.00520969,0.00533645,-0.492052,0.00283109,0.000475376,1.99029e-05
39,1,0.000441686,-1.66072e-05,0,-7.65105e-09,1.42094e-09,0,0.0005,0.0223515,-0.00356628,0.144143,0.00407025,0.00136264,6.72355e-06
19,1,0.000246712,1.5162e-05,0,-4.8792e-09,2.82061e-10,0,0.00054,0.00869987,0.174848,-0.515991,0.00384774,0.000454973,-6.70462e-06
90,1,0.000436859,0.000114359,0,-5.48963e-09,-4.07754e-09,0,0.00044,-1.91336,0.0839646,0.0398865,0.00489243,0.00132368,3.54547e-05
41,1,0.000468485,-7.11476e-05,0,-8.95823e-09,1.72912e-09,0,0.0005,-0.20104,-0.453116,-0.248565,0.00571296,0.00149716,-3.72737e-05
4,1,0.000194727,1.58099e-07,0,-4.03192e-09,-1.51914e-09,0,0.00058,-0.00886834,2.43806,-0.356876,0.00535215,0.000513061,-1.32742e-05
89,1,0.000463026,-0.000119487,0,-6.05803e-09,1.80486e-09,0,0.00044,-0.381462,0.529427,0.119779,0.00659226,0.00144633,-1.5437e-06
29,1,0.000197925,-7.30834e-06,0,-3.16187e-09,2.29184e-10,0,0.00052,-0.028018,-2.75459,0.28152,0.00642483,0.000504097,-1.24497e-05
27,1,0.000472194,-4.65692e-05,0,-9.83844e-09,1.45963e-09,0,0.00052,0.291028,-0.420699,0.0536204,0.00748232,0.00140107,3.7231e-06
75,1,0.000197627,-2.56069e-05,0,-2.3555e-09,3.63068e-10,0,0.00046,-0.0119567,3.1112,-0.397146,0.00738079,0.000452384,-3.73089e-05
54,1,0.000219693,1.0613e-05,0,-3.21588e-09,6.79477e-12,0,0.0005,-0.0210357,-3.12258,-0.502189,0.00830709,0.000410584,3.04549e-05
28,1,0.000488929,-6.24018e-06,0,-1.0054e-08,1.76002e-10,0,0.00052,-0.326287,0.408189,0.0537881,0.00843816,0.00130711,-2.96738e-05
34,1,0.000473767,3.71259e-05,0,-8.56766e-09,-1.57274e-09,0,0.00052,0.252867,-0.387893,0.047793,0.00937879,0.00133044,-1.66342e-05
46,1,0.000270706,3.32159e-05,0,-5.7534e-09,-1.01433e-09,0,0.0005,0.0264165,3.19332,-0.640041,0.00927306,0.000416574,4.04467e-05
68,1,0.00048351,0.000117829,0,-6.05605e-09,-1.14359e-09,0,0.00048,0.175184,0.245453,0.0982709,0.0101996,0.00102545,-2.23732e-05
66,1,0.000691774,-3.07096e-05,0,0,0,0,0.00048,0.714111,0.298775,-0.503854,0.0110739,0.00144204,4.63423e-05
42,1,0.000286317,-3.22599e-05,0,-4.11897e-09,6.69033e-10,0,0.0005,-0.00851294,-0.370462,-0.625971,0.0108041,0.000442309,5.09221e-06
74,1,0.000260189,-1.58008e-05,0,-2.93295e-09,1.80306e-10,0,0.00046,0.117458,0.390039,0.704817,0.0116542,0.000394633,-1.20537e-05
80,1,0.000160338,2.98012e-05,0,-1.39582e-09,-5.71505e-10,0,0.00046,-0.0224456,-0.146095,-0.466993,0.0119883,0.00119063,1.80717e-05
52,1,0.000343824,2.52891e-05,0,-3.76254e-09,-3.57928e-10,0,0.0005,-0.240644,-0.071884,0.1302,0.0130212,0.00117811,3.91278e-05
60,1,0.000238352,5.66809e-05,0,-2.97394e-09,-6.61144e-10,0,0.00048,-0.017071,-0.357365,-0.484014,0.0125165,0.000425637,-3.28708e-05
6,1,0.000213948,5.05549e-06,0,-3.21446e-09,-3.33616e-10,0,0.00056,0.00360576,0.251257,-0.33884,0.0137687,0.000492664,3.75182e-05
91,1,0.000332556,-7.17763e-06,0,-1.97376e-09,-2.66235e-10,0,0.00044,0.187549,-0.100048,0.150102,0.0143786,0.00119938,3.24564e-05
16,1,0.000205391,-3.64247e-05,0,-2.22223e-09,9.05053e-11,0,0.00054,0.00146182,-0.145766,-0.400854,0.0148509,0.000464767,-2.76781e-05
78,1,0.000336511,-2.55159e-05,0,-5.50469e-10,4.13404e-10,0,0.00046,-0.118954,-0.129228,-0.0114264,0.0157387,0.00160601,2.18197e-05
59,1,0.000203124,-1.09662e-06,0,-1.01477e-09,2.9287e-10,0,0.00048,-0.0173427,0.162748,0.467047,0.015843,0.000463675,-3.96086e-06
3,1,0.000355099,1.67527e-05,0,7.43814e-11,9.88792e-10,0,0.00058,-0.0196451,0.126055,0.096915,0.0166081,0.00131963,-1.82355e-06
67,1,0.000200646,-4.70221e-06,0,-7.14182e-10,1.90233e-10,0,0.00048,0.0101466,-0.155749,-0.473812,0.0167782,0.000387993,1.3181e-05
71,1,0.000351855,7.44506e-05,0,6.02587e-10,1.873e-10,0,0.00048,0.0526147,-0.148772,-0.00492392,0.0175211,0.00120215,-2.02466e-06
10,1,0.000176366,-6.97713e-06,0,2.29719e-09,1.42055e-10,0,0.00056,0.00240322,0.0204417,-0.378389,0.0178928,0.000440158,-2.65834e-05
26,1,0.000332153,5.85751e-05,0,-1.16475e-09,2.39255e-09,0,0.00052,0.0121745,0.153213,-0.0376931,0.0183816,0.00155261,-4.92787e-05
53,1,0.000171561,-2.43218e-06,0,2.22844e-09,2.17017e-10,0,0.0005,-0.0126861,-0.013369,0.0852327,0.0188641,0.000422801,-4.85386e-05
33,1,0.00023227,-4.08811e-05,0,-1.53018e-09,2.8564e-09,0,0.00052,-0.0662888,-0.137155,-0.236078,0.0193336,0.00124386,-4.32784e-06
36,1,0.000420699,-3.29894e-05,0,-8.92446e-09,2.64793e-09,0,0.00052,0.0201666,0.0594733,-0.0194634,0.00166243,0.00208394,-6.697e-06
49,1,0.000417145,-3.18355e-05,0,-7.9594e-09,4.27425e-09,0,0.0005,-0.0715036,-0.0237342,-0.0101678,0.000872539,0.00268462,4.93031e-05
11,1,0.000402172,-2.76107e-05,0,-6.64752e-09,4.81047e-09,0,0.00056,-0.0611392,-0.0528793,0.0149749,0.000346271,0.0017718,7.17441e-06
21,1,0.000424951,-3.44994e-05,0,-8.44995e-09,2.35381e-09,0,0.00054,-0.0121942,-0.0043854,0.00196762,0.00181989,0.00303679,-1.41959e-06
2,1,0.00041666,-4.17894e-05,0,-1.17679e-08,2.03818e-09,0,0.00058,0.0568704,-0.0259628,-0.00839515,0.002678,0.00232487,1.88296e-05
64,1,0.000427628,-3.89192e-05,0,-5.86861e-09,1.19626e-09,0,0.00048,-0.0677788,-0.0264161,-0.00363284,0.00275422,0.00331826,-3.46654e-05
86,1,0.000428483,-5.25978e-05,0,-4.93986e-09,9.03869e-10,0,0.00044,-0.0126559,0.0922569,-0.0355229,0.0034813,0.00293839,-2.11247e-06
50,1,0.000403887,-5.46496e-05,0,-7.75978e-09,1.2815e-09,0,0.0005,-0.0126763,0.00876936,-0.0156542,0.00366446,0.00212096,-4.9345e-05
8,1,0.000437511,-8.17284e-05,0,-1.0861e-08,2.30955e-09,0,0.00056,-0.0465085,-0.0473857,-0.0645978,0.00443635,0.00277451,2.40593e-05
