"id","type","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
45,1,3.17197e-05,6.21997e-06,0,-5.6232e-08,-1.43312e-08,0,0.0005,0.00149105,0.0621066,-0.0540915,0.000498413,0.000431373,-4.97566e-05
48,1,6.09608e-05,6.06443e-06,0,-9.20892e-08,-1.93048e-08,0,0.0005,0.0190858,-0.024512,0.0137657,0.00135733,0.000919084,1.99029e-05
83,1,7.60381e-05,9.31325e-06,0,-8.56827e-08,-1.58333e-08,0,0.00046,0.00285902,0.0109427,-0.047395,0.000541623,0.00130846,-1.5404e-05
19,1,4.01571e-05,-2.18643e-06,0,-7.37329e-08,2.46362e-10,0,0.00054,0.000348604,0.0121524,-0.0633927,0.00212717,0.000433123,-6.70462e-06
41,1,6.08531e-05,2.10769e-06,0,-8.45854e-08,-5.04805e-09,0,0.0005,0.0167207,-0.00222746,0.0311962,0.00288212,0.00106698,-3.72737e-05
90,1,6.13779e-05,-3.47988e-06,0,-6.10272e-08,-1.22495e-09,0,0.00044,-0.0362417,0.0119794,-0.01605,0.00210969,0.00143634,3.54547e-05
89,1,7.69654e-05,5.00893e-06,0,-7.16351e-08,-1.89435e-09,0,0.00044,-0.005193,0.0111315,-0.0216741,0.00364826,0.00147509,-1.5437e-06
29,1,4.21504e-05,5.90636e-06,0,-6.64028e-08,-3.96401e-09,0,0.00052,0.00037976,0.00123654,-0.0771119,0.00492937,0.000444003,-1.24497e-05
4,1,3.82186e-05,-4.39301e-06,0,-8.07983e-08,9.98597e-09,0,0.00058,0.00124229,-0.00804952,-0.0631775,0.0037089,0.000506899,-1.32742e-05
27,1,7.89922e-05,5.32092e-06,0,-1.22124e-07,9.1261e-10,0,0.00052,0.00255758,-0.00574889,0.00450019,0.00452551,0.00135869,3.7231e-06
28,1,8.1129e-05,-6.38013e-08,0,-1.26239e-07,8.02866e-09,0,0.00052,0.000105104,0.000119771,-0.0014032,0.00550841,0.00120734,-2.96738e-05
75,1,4.04039e-05,-8.13663e-06,0,-4.42764e-08,1.11502e-08,0,0.00046,-0.000273273,0.00191976,-0.0943041,0.00589123,0.000392707,-3.73089e-05
34,1,8.94663e-05,1.10131e-05,0,-1.38433e-07,-1.26476e-08,0,0.00052,-0.00941978,0.00242494,0.0213681,0.00647762,0.00125369,-1.66342e-05
54,1,5.43049e-05,-2.42881e-06,0,-7.25925e-08,6.16829e-09,0,0.0005,0.00176422,0.00853737,-0.116227,0.00688116,0.000423214,3.04549e-05
46,1,2.97033e-05,1.54796e-06,0,-2.52931e-08,-3.80743e-09,0,0.0005,-0.00404988,0.0724752,-0.0533704,0.007947,0.000420897,4.04467e-05
68,1,5.86919e-05,1.23035e-05,0,-5.30141e-08,-1.37414e-08,0,0.00048,-0.0532057,0.0249511,-0.0274076,0.00748219,0.00117259,-2.23732e-05
42,1,5.48922e-05,-2.588e-06,0,-6.80689e-08,1.31944e-08,0,0.0005,-0.033759,-0.103364,0.00673706,0.00874938,0.000960946,5.09221e-06
74,1,3.30113e-05,-4.36713e-06,0,-1.94285e-08,4.50138e-09,0,0.00046,-0.00173084,0.146769,-0.0605203,0.00945653,0.000386547,-1.20537e-05
80,1,6.46439e-05,-1.218e-05,0,-5.59982e-08,7.41698e-09,0,0.00046,-0.00887833,0.0731948,-0.022133,0.00941385,0.0015871,1.80717e-05
52,1,5.70376e-05,-1.22416e-05,0,-7.05197e-08,2.25324e-08,0,0.0005,0.0372405,-0.0969933,0.00892942,0.0100623,0.00104025,3.91278e-05
60,1,2.68623e-05,-8.96877e-06,0,-4.11166e-08,6.17725e-09,0,0.00048,-0.00172918,0.0686034,-0.0613828,0.0106876,0.000359343,-3.28708e-05
91,1,7.13568e-05,-2.75395e-05,0,-7.12305e-08,2.13489e-08,0,0.00044,0.0686865,0.122276,-0.05055,0.0109251,0.00109081,3.24564e-05
38,1,9.19911e-05,-5.10245e-05,0,-1.04032e-07,3.96286e-08,0,0.0005,-0.045636,-0.08422,-0.0355305,0.0116412,0.00165917,2.40231e-05
6,1,5.49409e-05,-5.69269e-05,0,-1.25847e-07,7.87604e-08,0,0.00056,0.0603652,-0.167703,-0.0263448,0.0116971,0.000655556,3.75182e-05
16,1,6.39624e-05,-2.90488e-06,0,-1.29032e-07,-7.4503e-09,0,0.00054,0.0202959,0.166822,0.128012,0.0126614,0.000484081,-2.76781e-05
78,1,9.83029e-05,-2.82363e-05,0,-8.94664e-08,1.86924e-08,0,0.00046,-0.0897862,0.126936,0.0868854,0.0125169,0.00147087,2.18197e-05
3,1,0.000107936,6.42229e-06,0,-2.00601e-07,-7.3284e-09,0,0.00058,0.022485,-0.096635,-0.00126218,0.0134862,0.00134754,-1.82355e-06
