"id","type","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
14,1,2.30818e-05,-1.89763e-06,0,-1.28355e-07,-9.80285e-08,0,0.00054,0.00264911,0.00500346,-0.0303653,0.000936294,0.000475285,-7.12572e-06
33,1,3.93185e-05,-1.0153e-05,0,-2.12769e-07,-1.82492e-07,0,0.00052,-0.0237655,0.0522117,0.00727443,0.000678641,0.00136293,-4.32784e-06
72,1,1.2216e-05,-7.57819e-06,0,-3.33403e-08,-3.2892e-08,0,0.00048,0.00976478,-0.0157802,-0.00608728,0.0018391,0.000394889,1.69816e-05
15,1,2.79762e-05,-1.09408e-05,0,-8.69208e-08,-1.25277e-07,0,0.00054,-0.0227572,0.013429,-0.0153121,0.00223768,0.00127082,1.95463e-05
45,1,1.10705e-05,-6.51593e-06,0,-1.3053e-08,-2.59365e-08,0,0.0005,0.00217183,0.0197992,-0.00372171,0.00274444,0.000448825,-4.97566e-05
57,1,2.792e-05,-1.46328e-05,0,-5.78343e-08,-1.75449e-07,0,0.0005,0.0111451,-0.0143092,0.00158676,0.00323081,0.00134053,3.21045e-05
48,1,1.35753e-05,-5.12431e-06,0,5.00946e-08,-3.31062e-08,0,0.0005,0.00734851,-0.02128,-0.0118874,0.00366646,0.000462064,1.99029e-05
83,1,2.395e-05,-8.96201e-06,0,2.77638e-08,-8.83937e-08,0,0.00046,-0.02514,0.0168362,-0.00155423,0.00411929,0.00125452,-1.5404e-05
19,1,1.2522e-05,-8.77924e-06,0,7.43599e-08,-1.18008e-07,0,0.00054,0.00126761,0.0175383,-0.0156943,0.00464926,0.000471839,-6.70462e-06
39,1,1.68048e-05,-1.08121e-05,0,9.63964e-08,-1.3601e-07,0,0.0005,-0.00984152,-0.0276541,0.0064386,0.00519369,0.00126778,6.72355e-06
4,1,7.0362e-06,-5.92231e-06,0,1.31165e-07,-6.13582e-08,0,0.00058,-0.00786895,0.0551542,-0.0114736,0.00586482,0.000550257,-1.32742e-05
41,1,-6.7816e-06,-1.89112e-06,0,2.2727e-07,-1.09064e-07,0,0.0005,-0.0178456,-0.014216,-0.0220683,0.00669881,0.00146353,-3.72737e-05
29,1,-1.09449e-06,-6.12182e-06,0,6.54591e-08,-3.07513e-08,0,0.00052,-0.00167615,-0.0647184,0.00566711,0.00688389,0.000468779,-1.24497e-05
89,1,-1.30457e-05,-2.19288e-06,0,1.26863e-07,-2.99144e-08,0,0.00044,-0.0300167,0.0355558,0.0178739,0.00748255,0.00117253,-1.5437e-06
27,1,-2.08583e-05,5.33414e-06,0,1.76071e-07,-1.01495e-07,0,0.00052,0.0334494,-0.0297193,0.00857988,0.00832739,0.00134119,3.7231e-06
75,1,-4.48773e-06,-1.0593e-06,0,3.40877e-08,-2.49308e-08,0,0.00046,-0.00768478,0.0756818,0.00561719,0.00781121,0.000412957,-3.73089e-05
54,1,-8.52549e-06,2.37456e-06,0,6.47182e-08,-1.81766e-08,0,0.0005,0.00591806,-0.071853,0.0114073,0.00871626,0.000447629,3.04549e-05
28,1,-2.55115e-05,1.02905e-05,0,1.65972e-07,-4.88004e-08,0,0.00052,-0.039284,0.0322995,0.00696283,0.00927016,0.00126082,-2.96738e-05
