"id","type","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
14,1,-5.39515e-06,-3.48353e-06,0,-1.20596e-08,1.56747e-08,0,0.00054,-0.00992253,0.191826,0.0106777,0.000930683,0.00047659,-7.12572e-06
33,1,-1.26069e-05,-6.51791e-06,0,-4.10507e-09,3.25512e-08,0,0.00052,-0.0182658,-0.0592608,0.00208665,0.000666848,0.00136646,-4.32784e-06
72,1,-2.93294e-06,-1.46928e-06,0,-6.49662e-09,6.00692e-09,0,0.00048,-0.010173,-0.203499,-0.00225905,0.00183626,0.000396654,1.69816e-05
15,1,-6.88812e-06,-4.7358e-06,0,-2.08342e-08,1.09726e-08,0,0.00054,-0.062921,-0.0113258,0.00635347,0.00223044,0.00127311,1.95463e-05
45,1,-4.03383e-06,-2.2341e-06,0,-5.02176e-09,4.46569e-09,0,0.0005,-0.0137342,0.181551,0.00652982,0.00274168,0.000450095,-4.97566e-05
57,1,-6.29711e-06,-4.52683e-06,0,-2.47015e-08,1.52043e-09,0,0.0005,0.0794285,0.0163485,0.00271883,0.0032234,0.00134339,3.21045e-05
48,1,-2.89203e-06,-8.57797e-07,0,-8.488e-09,-2.12701e-09,0,0.0005,-0.000330535,-0.1781,0.0012565,0.00366277,0.000462509,1.99029e-05
83,1,-3.19628e-06,-4.07885e-06,0,-2.36039e-08,4.33155e-09,0,0.00046,-0.118533,-0.0194931,0.0015632,0.00411239,0.0012553,-1.5404e-05
19,1,-1.166e-06,-2.36786e-06,0,-7.52184e-09,5.16054e-09,0,0.00054,0.00531466,0.159406,-0.00144074,0.00464537,0.00047312,-6.70462e-06
39,1,-1.83866e-06,-5.17059e-06,0,-2.18145e-08,1.7086e-08,0,0.0005,0.0635603,-0.0503256,0.00698871,0.00518624,0.00126892,6.72355e-06
4,1,9.04824e-07,-1.38805e-06,0,-2.50192e-09,2.37154e-08,0,0.00058,0.00294184,-0.0237054,-0.00102599,0.00586097,0.000550366,-1.32742e-05
