"id","type","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
45,1,3.39281e-07,3.31115e-06,0,-1.32532e-08,2.44744e-08,0,0.0005,-0.00129445,0.0165589,0.00331862,0.000622048,0.000442615,-4.97566e-05
48,1,1.46975e-05,-5.78153e-07,0,1.59909e-08,3.39094e-08,0,0.0005,-0.000958882,-0.00472812,0.0202625,0.00148813,0.000915856,1.99029e-05
83,1,1.42563e-05,2.58606e-06,0,1.40319e-09,2.59781e-08,0,0.00046,0.00544275,-0.00107588,-0.0336874,0.000693517,0.00132271,-1.5404e-05
19,1,1.29473e-05,6.40092e-07,0,2.05139e-08,3.0018e-08,0,0.00054,0.000730119,0.00797716,-0.0206356,0.00229263,0.00044481,-6.70462e-06
41,1,2.29731e-05,4.90444e-06,0,3.19488e-08,3.23574e-08,0,0.0005,0.0117539,-0.00572683,0.00677559,0.00309516,0.00106703,-3.72737e-05
90,1,1.86823e-05,-1.45235e-06,0,1.85198e-08,2.89407e-08,0,0.00044,-0.00648016,0.00410024,0.0118081,0.00229678,0.00137259,3.54547e-05
89,1,2.98693e-05,5.21354e-06,0,2.4024e-08,2.50946e-08,0,0.00044,-0.00501861,0.0136618,-0.0050952,0.00385155,0.00148839,-1.5437e-06
4,1,1.49768e-05,-6.10613e-07,0,3.83753e-08,2.31744e-08,0,0.00058,0.00102709,-0.00118518,-0.0249796,0.00395934,0.000521512,-1.32742e-05
27,1,3.29277e-05,6.98055e-06,0,5.57093e-08,3.21343e-08,0,0.00052,-0.000691214,-0.0111184,0.00202,0.00471016,0.00137924,3.7231e-06
29,1,1.80995e-05,4.90755e-06,0,2.80673e-08,1.36676e-08,0,0.00052,0.00286494,0.00648929,-0.0325572,0.00505206,0.00046088,-1.24497e-05
28,1,3.42355e-05,5.20875e-06,0,5.79012e-08,1.28956e-08,0,0.00052,0.00418569,0.00971162,0.00148999,0.00567861,0.00122928,-2.96738e-05
75,1,1.7664e-05,-4.8893e-07,0,2.15699e-08,1.37364e-09,0,0.00046,-0.00268192,-0.00570224,-0.042557,0.00599596,0.000387602,-3.73089e-05
34,1,3.55556e-05,8.69083e-06,0,5.16151e-08,6.23446e-09,0,0.00052,0.00635247,-0.0110243,0.00162549,0.00664093,0.00130265,-1.66342e-05
54,1,1.84812e-05,1.48677e-06,0,1.27104e-08,-4.27692e-09,0,0.0005,-0.00133901,0.00689506,-0.040732,0.00696687,0.000430268,3.04549e-05
46,1,1.08812e-05,-2.12039e-06,0,1.61108e-09,-1.92425e-08,0,0.0005,-0.000991877,-0.0280893,-0.0228136,0.00796344,0.000406829,4.04467e-05
68,1,2.97173e-05,3.75464e-06,0,2.4624e-08,-2.0972e-08,0,0.00048,0.0123446,0.00795601,-0.0177882,0.00758741,0.00118513,-2.23732e-05
42,1,1.04529e-05,-3.53426e-06,0,-6.76082e-09,-3.70382e-08,0,0.0005,0.00792632,0.0313679,0.0162866,0.00878778,0.00089952,5.09221e-06
74,1,6.5308e-06,6.48175e-07,0,-7.88914e-09,-2.03023e-08,0,0.00046,-0.00468304,-0.0322781,-0.01152,0.00960102,0.000425479,-1.20537e-05
80,1,9.29082e-06,5.60171e-07,0,-4.28306e-09,-3.29851e-08,0,0.00046,0.00965381,-0.0189113,-0.00521561,0.00952547,0.00144917,1.80717e-05
52,1,8.23755e-06,-1.29157e-06,0,-2.28189e-08,-4.35636e-08,0,0.0005,-0.00469667,0.0133235,-0.00124451,0.0102754,0.0010471,3.91278e-05
60,1,3.14334e-06,-2.00658e-06,0,-1.34726e-08,-1.92669e-08,0,0.00048,-0.000307111,-0.00611059,-0.00786384,0.0108178,0.000346467,-3.28708e-05
91,1,7.32916e-06,-5.77347e-06,0,-1.73839e-08,-2.84079e-08,0,0.00044,-0.00840322,-0.011699,-0.00760323,0.0111657,0.0010366,3.24564e-05
38,1,1.29214e-05,-1.47054e-05,0,-3.40212e-08,-5.35465e-08,0,0.0005,-0.00164639,-0.000324697,-0.0119541,0.0118567,0.00156092,2.40231e-05
6,1,3.48382e-06,-6.56968e-06,0,-2.59557e-08,-2.4246e-08,0,0.00056,0.000193901,0.0136,-0.00397852,0.0118922,0.00051694,3.75182e-05
16,1,4.65488e-06,-1.75532e-06,0,-2.29858e-08,-1.58514e-08,0,0.00054,0.00111173,-0.0134423,0.0112843,0.012912,0.000505684,-2.76781e-05
78,1,1.36059e-05,-7.64607e-06,0,-3.15059e-08,-3.90309e-08,0,0.00046,0.00491423,0.00276657,0.0278685,0.0127377,0.00148474,2.18197e-05
3,1,1.61373e-05,-4.16677e-07,0,-5.89742e-08,-4.78526e-08,0,0.00058,0.000370907,-0.00542478,-0.00808558,0.013697,0.00136969,-1.82355e-06
59,1,6.11123e-06,-1.26848e-07,0,-1.40048e-08,-1.60205e-08,0,0.00048,0.000264839,0.0128997,-0.0114685,0.0138577,0.000403519,-3.96086e-06
71,1,1.33503e-05,-6.43451e-07,0,-2.48112e-08,-1.09171e-08,0,0.00048,0.010762,0.000370405,0.000310094,0.0145942,0.000949188,-2.02466e-06
67,1,7.32235e-06,8.63544e-07,0,-1.18645e-08,-1.29339e-09,0,0.00048,0.0047058,-0.0188569,-0.0085401,0.0152099,0.000384632,1.3181e-05
26,1,1.54423e-05,2.41396e-06,0,-3.9888e-08,8.59766e-09,0,0.00052,-0.0152298,-0.000614794,-0.00217111,0.0155057,0.00130142,-4.92787e-05
10,1,7.88636e-06,-6.72699e-07,0,-2.38862e-08,1.66525e-08,0,0.00056,0.000140849,0.0171503,-0.00699441,0.0161854,0.000508915,-2.65834e-05
33,1,1.02609e-05,3.44025e-06,0,-5.59329e-08,4.50933e-08,0,0.00052,0.0211176,-0.00266593,0.00723012,0.0169986,0.00111884,-4.32784e-06
53,1,7.89063e-06,2.76243e-06,0,-6.55321e-08,8.4831e-09,0,0.0005,0.000987012,-0.0188868,-0.00706706,0.0177458,0.00047875,-4.85386e-05
15,1,7.60081e-06,-4.88879e-07,0,-9.25208e-08,-1.50984e-08,0,0.00054,4.65312e-05,-0.0121348,-0.0110101,0.0187312,0.00128286,1.95463e-05
14,1,1.12685e-06,-6.55431e-07,0,-5.11811e-08,-1.56385e-08,0,0.00054,-0.000198501,0.0172805,-0.00231701,0.0187659,0.000396166,-7.12572e-06
