"id","type","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
14,1,9.54452e-07,8.24442e-07,0,1.17e-09,-2.98918e-10,0,0.00054,1.75474e-05,0.000291764,-0.00235154,0.000934433,0.000470554,-7.12572e-06
33,1,1.18876e-06,9.53198e-07,0,4.22301e-09,3.2664e-10,0,0.00052,0.000668365,-0.00286128,0.00293523,0.000688813,0.00136365,-4.32784e-06
72,1,6.28622e-07,-7.59235e-08,0,6.02909e-10,-2.33113e-10,0,0.00048,-0.000572363,-6.24228e-06,-0.000493802,0.00183801,0.000391538,1.69816e-05
15,1,1.33404e-06,-9.37462e-08,0,3.77679e-09,-1.04152e-09,0,0.00054,0.00138847,-0.000126838,-0.000140236,0.00222678,0.00126188,1.95463e-05
45,1,6.68691e-07,-5.80798e-08,0,7.26085e-10,-6.23347e-10,0,0.0005,-0.000520325,-8.92712e-06,-0.000357928,0.00273917,0.000444678,-4.97566e-05
57,1,1.82982e-06,-1.46733e-07,0,3.17736e-09,-2.01691e-09,0,0.0005,-0.00110594,-0.000533816,0.00021618,0.00321713,0.00132914,3.21045e-05
48,1,8.1569e-07,-1.44043e-07,0,1.19967e-09,-7.27603e-10,0,0.0005,0.00117473,-0.000338432,-0.000901232,0.0036566,0.000452365,1.99029e-05
83,1,2.3376e-06,-9.64819e-07,0,2.39066e-09,-1.54659e-09,0,0.00046,-0.00266233,0.00167378,-0.00278524,0.00410845,0.00123113,-1.5404e-05
19,1,9.68885e-07,-8.80538e-07,0,1.50636e-09,-1.98557e-09,0,0.00054,0.000791955,6.96393e-06,-0.00145358,0.00463649,0.000459385,-6.70462e-06
39,1,3.00771e-06,-1.81952e-06,0,2.8332e-09,-2.83362e-09,0,0.0005,-0.00432797,-0.00326046,-0.00197893,0.00517692,0.00123824,6.72355e-06
4,1,1.60629e-06,-5.87016e-07,0,1.98992e-09,-2.12837e-09,0,0.00058,0.000234627,0.00592145,0.000321947,0.00585287,0.000532269,-1.32742e-05
90,1,4.86269e-06,-3.00151e-06,0,2.42143e-09,-2.70438e-09,0,0.00044,0.0059354,0.00334962,-0.000703579,0.00589145,0.00165022,3.54547e-05
41,1,5.56354e-06,-1.49429e-06,0,3.01755e-09,-2.9286e-09,0,0.0005,0.00174851,-0.00421715,0.00084666,0.00667336,0.00141228,-3.72737e-05
29,1,2.50337e-06,-9.25923e-08,0,1.36285e-09,-1.39811e-09,0,0.00052,0.000193527,-0.00637768,-0.00260163,0.00687758,0.000452159,-1.24497e-05
89,1,5.51431e-06,-1.19255e-07,0,1.48401e-09,-1.48639e-09,0,0.00044,-0.00139819,0.00605199,-0.000928276,0.00746244,0.00114344,-1.5437e-06
27,1,6.37605e-06,3.07389e-06,0,1.95337e-09,-1.79916e-09,0,0.00052,-0.00100079,-0.00688364,0.0035222,0.00829356,0.00133091,3.7231e-06
75,1,2.64729e-06,2.63673e-07,0,7.79863e-10,-8.30437e-10,0,0.00046,-0.00187452,0.00693516,-0.000632099,0.00780858,0.00039821,-3.73089e-05
54,1,4.27643e-06,2.45385e-06,0,8.86332e-10,-8.83231e-10,0,0.0005,0.00410625,-0.00652552,-0.00281032,0.00872087,0.000454692,3.04549e-05
28,1,7.75455e-06,6.68183e-06,0,1.35768e-09,-1.14613e-09,0,0.00052,-0.00781201,0.00922465,0.00170798,0.00922573,0.00131111,-2.96738e-05
46,1,4.75185e-06,1.11588e-06,0,2.52209e-10,-7.50088e-10,0,0.0005,5.80437e-05,0.00601788,-0.00917543,0.00970056,0.000461848,4.04467e-05
34,1,8.20607e-06,1.64075e-05,0,6.89705e-10,-2.56037e-09,0,0.00052,0.0118956,-0.0123742,0.0131427,0.0101482,0.00140893,-1.66342e-05
68,1,7.994e-06,1.77293e-05,0,-4.36493e-10,-2.47811e-09,0,0.00048,0.00269797,0.0111574,-0.00996335,0.0109489,0.00107498,-2.23732e-05
42,1,2.47573e-06,6.41188e-06,0,-3.01494e-10,-1.02271e-09,0,0.0005,0.00404598,-0.0195981,-0.0110261,0.0115249,0.000446808,5.09221e-06
66,1,1.28628e-06,1.32797e-05,0,8.60216e-10,-2.28041e-09,0,0.00048,0.0233487,-0.0101906,-0.0284389,0.0118483,0.00135719,4.63423e-05
74,1,1.03327e-06,2.04846e-06,0,-5.89769e-12,-4.93856e-11,0,0.00046,-0.00111256,0.020986,0.00139356,0.0123694,0.000371179,-1.20537e-05
80,1,-2.45666e-06,5.60396e-06,0,8.16544e-10,-9.30047e-11,0,0.00046,0.0120822,0.00113671,0.00945354,0.0126848,0.001133,1.80717e-05
60,1,1.23527e-06,4.84739e-06,0,-2.17197e-10,-4.51306e-10,0,0.00048,-0.000312526,-0.0190062,0.00111586,0.0132287,0.000405891,-3.28708e-05
52,1,-4.02035e-06,1.3258e-05,0,9.97254e-10,-1.7783e-09,0,0.0005,-0.00695638,0.00105077,0.0109325,0.013581,0.00122136,3.91278e-05
6,1,-8.237e-06,6.81164e-06,0,-9.15453e-10,-3.75837e-09,0,0.00056,0.00887226,-0.00359604,-0.0244667,0.014315,0.000563334,3.75182e-05
32,1,-1.08771e-05,1.36629e-05,0,3.10996e-09,-1.0632e-09,0,0.00052,0.00763879,0.00554488,-0.00915853,0.0148201,0.00162795,-4.71808e-05
91,1,-1.21891e-05,6.7799e-06,0,1.07689e-09,-1.19699e-09,0,0.00044,-0.00119912,-0.00871453,-0.00500405,0.0156633,0.00128457,3.24564e-05
16,1,-7.56507e-06,1.8812e-06,0,-7.6071e-10,-9.85396e-10,0,0.00054,-0.000423353,0.00290955,0.0154792,0.0153345,0.000460241,-2.76781e-05
38,1,-8.25579e-06,4.33599e-06,0,3.70748e-09,-3.17857e-09,0,0.0005,-0.00481628,0.00450241,-0.00419992,0.0164399,0.00164931,2.40231e-05
59,1,-4.19137e-05,4.8223e-05,0,0,0,0,0.00048,915.411,-47.6147,14.2562,0.0166294,0.000610241,-3.96086e-06
78,1,-5.72679e-06,2.26955e-06,0,3.83387e-09,-8.03048e-10,0,0.00046,-0.00397742,-0.00274991,0.000958554,0.0172905,0.00142571,2.18197e-05
3,1,-2.94673e-06,1.56602e-06,0,7.83237e-09,1.28842e-09,0,0.00058,-0.00225709,0.00301854,-0.000847535,0.0182333,0.00127988,-1.82355e-06
67,1,-1.8489e-06,3.33714e-07,0,2.23984e-09,9.66741e-10,0,0.00048,-6.93218e-05,-0.00786287,0.00422771,0.0176448,0.000447101,1.3181e-05
10,1,-1.45318e-06,6.94674e-07,0,3.44674e-09,5.93821e-10,0,0.00056,0.000550468,-0.00123684,0.00242948,0.0187549,0.000414029,-2.65834e-05
71,1,-1.65649e-06,6.58398e-07,0,4.29504e-09,5.35119e-10,0,0.00048,-0.00375027,-0.00277996,-0.00166143,0.0192225,0.00121724,-2.02466e-06
53,1,-4.40492e-09,9.80558e-07,0,2.32143e-09,2.167e-10,0,0.0005,0.009542,-0.00195365,0.00341862,0.0199419,0.00061023,-4.85386e-05
11,1,3.00266e-06,8.84439e-07,0,6.59161e-09,-7.57862e-10,0,0.00056,-0.00268334,0.00132387,-0.00472686,0.00152637,0.00196856,7.17441e-06
79,1,4.96308e-06,1.09837e-06,0,4.83261e-09,-4.10881e-10,0,0.00046,0.00345566,-0.00155403,0.0026688,0.00131245,0.00287328,-2.13541e-05
70,1,2.82183e-06,-6.31823e-07,0,4.99102e-09,8.80044e-10,0,0.00048,-0.00152071,0.00155476,-0.0014624,0.00060195,0.00238515,-1.31875e-05
49,1,5.79324e-06,1.85441e-06,0,6.4307e-09,-2.55255e-09,0,0.0005,-0.00306361,0.00239488,-0.00131453,0.00216146,0.00295563,4.93031e-05
36,1,3.39563e-06,2.35125e-07,0,5.72316e-09,-3.07451e-09,0,0.00052,-0.00118612,0.00431673,-0.00364637,0.00269923,0.00215196,-6.697e-06
21,1,7.17467e-06,-8.40829e-07,0,8.21261e-09,-5.27786e-09,0,0.00054,0.00290659,-0.00301865,-0.00463685,0.00310713,0.00307865,-1.41959e-06
2,1,4.51019e-06,-2.66764e-06,0,8.55653e-09,-6.80898e-09,0,0.00058,0.00299446,-0.00419526,-0.0017089,0.00375865,0.00228707,1.88296e-05
64,1,7.52817e-06,-4.06097e-06,0,5.71598e-09,-4.78315e-09,0,0.00048,-0.00379264,0.00508692,-0.00328792,0.00408102,0.00322823,-3.46654e-05
86,1,5.90124e-06,-4.33033e-06,0,3.48158e-09,-3.55465e-09,0,0.00044,-0.0100724,0.00415879,-0.00196467,0.00474553,0.002769,-2.11247e-06
50,1,4.04212e-06,-2.60847e-06,0,4.54359e-09,-3.81456e-09,0,0.0005,0.00691533,0.00110192,-0.000619272,0.00465003,0.00191942,-4.9345e-05
8,1,5.79689e-06,-4.19851e-06,0,6.29271e-09,-6.9801e-09,0,0.00056,-0.00617738,0.00142254,0.000464878,0.00563432,0.00255177,2.40593e-05
81,1,5.57355e-06,-2.95478e-06,0,2.93006e-09,-3.04538e-09,0,0.00046,-0.00316706,0.00125098,0.00090878,0.00656578,0.00231058,1.72248e-05
30,1,6.85392e-06,-4.76217e-06,0,5.40777e-09,-5.40103e-09,0,0.00052,0.00532981,-0.00469923,-0.00184008,0.00639794,0.00324177,4.55657e-05
88,1,6.48697e-06,-3.69939e-06,0,2.96095e-09,-2.99609e-09,0,0.00044,0.00523706,-0.000223132,-0.0033058,0.00723655,0.00284069,-4.19173e-06
69,1,5.92709e-06,-2.70342e-07,0,2.65076e-09,-2.61186e-09,0,0.00048,-0.00228174,0.000848773,0.0035401,0.0073971,0.00198953,3.70504e-05
7,1,6.76177e-06,4.40974e-06,0,4.21755e-09,-3.07368e-09,0,0.00056,0.00326795,0.00156679,-0.000216652,0.00828996,0.00237209,3.74342e-05
25,1,5.38067e-06,1.68939e-05,0,4.57606e-09,-1.7366e-09,0,0.00052,-0.0120002,0.0070479,0.00132248,0.00921011,0.00329139,-4.25165e-05
22,1,6.18781e-06,1.20502e-05,0,3.11069e-09,-2.10797e-09,0,0.00054,0.00996767,-0.00446508,0.00787783,0.00932638,0.00230241,1.87838e-05
58,1,2.01837e-06,2.61274e-05,0,3.82958e-09,-1.97039e-09,0,0.0005,0.0191379,-0.00841372,0.00170161,0.0102209,0.00320216,-3.26099e-05
65,1,4.15778e-06,2.01813e-05,0,1.81819e-09,-2.06945e-09,0,0.00048,-0.0161931,0.00762691,0.00196904,0.0102851,0.00231852,-2.11042e-05
13,1,1.03265e-06,3.03521e-05,0,5.12553e-09,-4.62571e-09,0,0.00054,0.00482559,0.00597,0.00505091,0.0112023,0.00303605,-2.03403e-05
24,1,7.33816e-06,2.34284e-05,0,1.01373e-09,-4.22202e-09,0,0.00052,-0.00363481,-0.00392369,0.00681152,0.0111831,0.00201332,2.94528e-05
73,1,3.1878e-05,-4.50901e-06,0,0,0,0,0.00046,0.00161182,0.0194776,-0.0168324,0.012053,0.00249363,6.56493e-06
1,1,-1.03474e-05,2.408e-05,0,7.04717e-09,-3.7214e-09,0,0.00058,0.00730881,-0.00154849,-0.0103696,0.0129697,0.00304948,1.15215e-05
20,1,-1.12454e-05,1.42156e-05,0,4.01246e-09,-1.43255e-09,0,0.00054,-0.00640823,0.0121515,0.00822147,0.0129322,0.00201208,-2.66714e-05
35,1,-9.89756e-06,1.77828e-05,0,4.69524e-09,-2.95246e-09,0,0.00052,-0.00321734,0.000508787,-0.00183516,0.0139985,0.00295994,2.4953e-06
47,1,-1.00944e-05,1.71473e-05,0,2.74572e-09,-2.37766e-09,0,0.0005,0.00273751,-0.0117846,0.00180355,0.0139477,0.00204418,4.33922e-05
93,1,-8.98149e-06,1.34508e-05,0,2.4831e-09,-1.6598e-09,0,0.00042,-0.00366957,0.00226471,-0.00630271,0.0148439,0.00267872,4.12499e-05
23,1,-8.19362e-06,8.44028e-06,0,4.96599e-09,-3.10212e-09,0,0.00054,-0.000192755,-0.000413371,-0.00255853,0.0156584,0.00223644,3.27854e-05
63,1,-5.39323e-06,6.46213e-06,0,3.95439e-09,-2.63887e-09,0,0.00048,0.000599635,0.000725403,-0.00399644,0.0163952,0.0028747,-2.48084e-05
40,1,-6.00786e-06,1.03013e-05,0,4.53752e-09,-2.90011e-09,0,0.0005,0.00167816,-0.00242114,-0.00304945,0.015551,0.00321668,-2.89305e-05
44,1,-5.0925e-06,3.08518e-06,0,3.99087e-09,-1.92977e-09,0,0.0005,0.00496126,-0.00409925,-0.00187455,0.0171123,0.0023382,-4.01526e-05
51,1,-4.52588e-07,2.53674e-06,0,6.16953e-09,-5.63111e-11,0,0.0005,-0.00178643,0.00192856,-0.00376557,0.0179536,0.00311793,-3.11061e-05
55,1,-2.66524e-06,2.1087e-06,0,5.12342e-09,2.68851e-10,0,0.0005,0.00134642,0.00253619,-6.14677e-05,0.0180215,0.00222426,-4.78087e-05
84,1,7.6593e-07,8.00504e-07,0,4.272e-09,4.39815e-10,0,0.00044,-0.00594424,0.000259683,0.000121092,0.0188027,0.00290502,2.35941e-05
31,1,-4.44825e-07,1.01963e-06,0,6.32961e-09,1.20622e-09,0,0.00052,0.00446625,-0.00225482,-0.00181983,0.0189625,0.00206933,3.24568e-05
26,1,3.55032e-07,2.55845e-08,0,5.92041e-09,1.63698e-09,0,0.00052,0.00309095,0.00075582,-0.00139837,0.0199107,0.0018053,-4.92787e-05
17,1,2.32802e-06,2.27603e-07,0,8.02339e-09,1.73174e-09,0,0.00054,-0.00384198,0.00103257,-0.00227808,0.019706,0.00275701,2.08022e-05
5,1,4.78507e-06,-8.23669e-07,0,1.07007e-08,1.35373e-09,0,0.00056,0.0011343,-0.00175334,-0.00176751,0.000563123,0.00337135,4.11056e-07
12,1,9.13174e-06,4.00435e-06,0,1.1355e-08,-1.97574e-09,0,0.00056,-0.00225436,0.0049372,-0.00657495,0.00160461,0.00380052,5.14548e-06
168,1,1.39741e-05,-5.81151e-06,0,9.20755e-09,2.84599e-10,0,0.00048,-0.000172861,0.00296738,-0.0198777,0.0013005,0.004956,-5.06646e-06
162,1,6.92009e-06,-1.62016e-06,0,7.84124e-09,7.71445e-10,0,0.00048,-0.00100145,-0.00239842,0.00127389,0.000703026,0.00430015,3.07542e-05
43,1,1.70353e-05,2.45867e-06,0,9.99942e-09,-2.78116e-09,0,0.0005,0.00420109,-0.00435473,-0.00868195,0.00213807,0.0046402,-3.67063e-05
61,1,1.11513e-05,3.64119e-07,0,7.18289e-09,-3.32041e-09,0,0.00048,0.00108503,-0.00469884,-0.00280526,0.00262894,0.00389172,4.42332e-05
167,1,1.79432e-05,-1.30265e-06,0,8.99249e-09,-4.68474e-09,0,0.00048,-0.00479712,0.00886788,-0.00487942,0.00308431,0.00472966,4.50596e-05
37,1,1.20989e-05,-2.71701e-06,0,9.10683e-09,-6.28273e-09,0,0.00052,-0.00319249,0.0044058,-0.00554634,0.00360043,0.00396659,4.93343e-05
149,1,1.71485e-05,-4.7952e-06,0,9.60117e-09,-6.72613e-09,0,0.0005,0.000862328,-0.011713,-0.00493199,0.0040341,0.00480274,-4.39636e-05
76,1,1.14249e-05,-5.89711e-06,0,6.16764e-09,-5.17149e-09,0,0.00046,0.00782304,-0.00419438,-0.0044808,0.00456471,0.00401601,-2.06407e-05
147,1,1.50114e-05,-7.57047e-06,0,8.6418e-09,-7.3622e-09,0,0.0005,-0.00315869,0.0148582,-0.00255791,0.00499092,0.00485141,-2.4127e-05
87,1,7.10486e-06,-6.00705e-06,0,4.15466e-09,-4.30798e-09,0,0.00044,0.0100022,-0.0101131,-0.00183676,0.00522285,0.00343497,1.77683e-05
193,1,8.88469e-06,-8.52226e-06,0,4.73418e-09,-4.90273e-09,0,0.00044,-0.0297852,-0.0110419,-0.00368334,0.00571506,0.00408655,-3.72271e-05
85,1,7.41936e-06,-7.95725e-06,0,4.14509e-09,-4.15358e-09,0,0.00044,-0.00843012,0.007826,0.000911836,0.00656163,0.00412089,1.35023e-05
139,1,1.17215e-05,-1.03313e-05,0,7.31323e-09,-7.74099e-09,0,0.0005,0.0211872,-0.0177187,-0.00283597,0.00593197,0.00494283,-7.56683e-06
95,1,5.00959e-06,-7.74788e-06,0,9.21194e-09,-8.867e-09,0,0.00058,0.0027367,-0.0161785,0.00744948,0.00764631,0.00446853,1.0814e-05
