"id","type","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
14,1,1.74385e-05,2.62963e-06,0,-4.46487e-10,-1.87534e-10,0,0.00054,0.000299926,-0.00856723,-0.0249636,0.000939586,0.000471627,-7.12572e-06
33,1,3.7717e-05,4.63168e-06,0,-9.65699e-10,-3.88413e-10,0,0.00052,0.000734925,0.000688976,-0.00716728,0.000699918,0.00136622,-4.32784e-06
72,1,9.3348e-06,-1.71013e-06,0,-1.1253e-10,3.06787e-12,0,0.00048,0.00011014,0.00861685,-0.00245486,0.00184031,0.000391446,1.69816e-05
15,1,2.31487e-05,3.85018e-07,0,-3.59059e-10,-3.38639e-11,0,0.00054,0.00436096,0.00120853,-0.0149198,0.00223178,0.00126348,1.95463e-05
45,1,8.83589e-06,-1.12612e-06,0,-1.81726e-10,-3.19956e-11,0,0.0005,-0.000448464,-0.00722386,-0.00522428,0.00274094,0.000444876,-4.97566e-05
57,1,2.22345e-05,-2.40386e-06,0,-2.75099e-10,5.90627e-11,0,0.0005,-0.00173084,-0.00164387,-0.00111948,0.0032208,0.00133013,3.21045e-05
48,1,1.03184e-05,8.53539e-08,0,-1.27487e-10,7.63259e-11,0,0.0005,-2.57322e-05,0.00703789,-0.00730978,0.00365803,0.000452641,1.99029e-05
83,1,1.92617e-05,4.91882e-08,0,-1.26906e-10,4.99635e-11,0,0.00046,0.00397457,0.00181359,-0.00281201,0.00411033,0.00123223,-1.5404e-05
19,1,1.06495e-05,-3.12856e-06,0,-6.16116e-11,8.0332e-11,0,0.00054,0.00060864,-0.00692478,-0.0147661,0.00463751,0.000459758,-6.70462e-06
39,1,1.96099e-05,-3.72892e-06,0,-1.66691e-10,5.61022e-11,0,0.0005,-0.00811576,-0.00224291,0.00191024,0.00517771,0.0012391,6.72355e-06
4,1,1.04324e-05,-4.30131e-07,0,-3.13912e-11,1.15381e-10,0,0.00058,0.000482717,0.0079077,-0.00898485,0.00585308,0.000532494,-1.32742e-05
90,1,2.46887e-05,-6.74008e-07,0,-2.32682e-10,2.00532e-10,0,0.00044,0.00410394,-0.000409523,-0.00944971,0.00589148,0.00165161,3.54547e-05
41,1,2.15366e-05,-1.95286e-06,0,-3.95532e-10,9.6472e-11,0,0.0005,0.000835391,-0.000596314,-0.00713412,0.0066728,0.00141277,-3.72737e-05
29,1,8.45111e-06,-1.88884e-06,0,-1.04527e-10,5.54349e-11,0,0.00052,5.39299e-05,-0.00824919,-0.00761297,0.00687701,0.00045187,-1.24497e-05
