"id","type","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
14,1,-3.3787e-05,-6.40206e-06,0,5.87777e-09,3.2875e-09,0,0.00054,0.000419897,-0.000860597,0.0473877,0.000949259,0.000470633,-7.12572e-06
33,1,-7.5452e-05,-1.34324e-05,0,6.16598e-09,2.89953e-09,0,0.00052,-0.00251142,0.012737,0.0219485,0.000721588,0.00136358,-4.32784e-06
72,1,-1.81566e-05,1.4964e-06,0,1.49884e-09,-4.52201e-10,0,0.00048,-0.000261677,0.00192625,0.00379637,0.00184557,0.000388489,1.69816e-05
15,1,-4.63816e-05,-5.12399e-06,0,1.32496e-09,2.01386e-09,0,0.00054,0.000864826,0.00175437,0.0305136,0.0022458,0.00125844,1.95463e-05
45,1,-1.73815e-05,8.00185e-07,0,-2.17215e-10,-3.13547e-11,0,0.0005,6.71055e-06,-0.00226703,0.0122226,0.00274606,0.000441967,-4.97566e-05
57,1,-4.35352e-05,1.45086e-06,0,-8.48556e-10,2.58039e-09,0,0.0005,-0.00358274,-0.00204162,0.00701204,0.00323496,0.00132313,3.21045e-05
48,1,-2.02003e-05,-9.49856e-07,0,-1.37337e-09,4.93444e-10,0,0.0005,0.00288378,9.55338e-05,0.0142025,0.00366456,0.000450406,1.99029e-05
83,1,-3.71168e-05,-1.97897e-06,0,-8.01711e-10,-2.94529e-10,0,0.00046,-0.00314949,0.0035702,0.00287142,0.00412372,0.0012272,-1.5404e-05
19,1,-2.05295e-05,4.57779e-06,0,-1.81904e-09,7.98477e-11,0,0.00054,-0.00142454,0.00162376,0.0281574,0.00464413,0.000454797,-6.70462e-06
39,1,-3.78953e-05,4.76241e-06,0,-2.00701e-09,-2.04494e-09,0,0.0005,0.0113161,0.00852984,-0.00188574,0.0051913,0.00123128,6.72355e-06
4,1,-2.02155e-05,-4.45219e-07,0,-1.88113e-09,-1.86669e-09,0,0.00058,0.000750138,-0.0205102,0.0165443,0.0058601,0.000529476,-1.32742e-05
90,1,-4.81403e-05,-2.56031e-06,0,-8.85445e-10,-3.05534e-09,0,0.00044,-0.00683529,-0.00477569,0.0115348,0.00590957,0.00164139,3.54547e-05
41,1,-4.39909e-05,-1.77678e-06,0,-2.93164e-10,-5.0137e-09,0,0.0005,-0.00618114,0.00588106,0.0155141,0.00668871,0.00140293,-3.72737e-05
29,1,-1.73031e-05,7.71277e-07,0,-4.22528e-11,-1.89441e-09,0,0.00052,0.000109843,0.0239236,0.0148973,0.00688375,0.000447712,-1.24497e-05
89,1,-3.65107e-05,3.65506e-06,0,5.65687e-10,-2.16417e-09,0,0.00044,0.0131497,-0.0101657,0.0169923,0.00747512,0.00113474,-1.5437e-06
27,1,-4.02836e-05,9.4157e-07,0,2.55822e-09,-2.83134e-09,0,0.00052,-0.0153362,0.00714966,0.00142524,0.00830741,0.00132496,3.7231e-06
75,1,-1.47461e-05,3.14571e-06,0,1.2116e-10,-1.13852e-09,0,0.00046,0.00240994,-0.0291405,0.0118348,0.00781363,0.000393941,-3.73089e-05
54,1,-1.83354e-05,1.72083e-06,0,1.01885e-09,-1.22192e-09,0,0.0005,-0.000400087,0.0283893,0.0194619,0.00872752,0.000452011,3.04549e-05
28,1,-4.26209e-05,3.38165e-06,0,5.13221e-09,-3.98453e-09,0,0.00052,0.0185114,-0.00703865,0.0190926,0.00924086,0.00130927,-2.96738e-05
46,1,-1.68543e-05,1.01772e-05,0,1.09634e-09,-2.46068e-09,0,0.0005,0.000154807,-0.0272922,0.0277906,0.00970485,0.000457516,4.04467e-05
34,1,-4.36359e-05,3.06371e-06,0,6.40192e-09,-1.72984e-09,0,0.00052,-0.0186553,0.00764878,-0.00473021,0.0101625,0.00141111,-1.66342e-05
68,1,-3.92406e-05,-6.34452e-06,0,8.23942e-09,6.73426e-09,0,0.00048,-0.022622,0.00885242,-0.00607866,0.0109609,0.00107714,-2.23732e-05
42,1,-2.27383e-05,-5.89876e-06,0,5.99489e-09,5.45729e-09,0,0.0005,-0.00031989,0.0142657,0.0317166,0.0115307,0.000447829,5.09221e-06
66,1,-5.01671e-05,-3.77952e-06,0,1.27925e-08,6.47994e-09,0,0.00048,0.0029505,-0.00837374,-1.29747e-05,0.0118669,0.00135498,4.63423e-05
74,1,-1.57847e-05,-7.79275e-07,0,3.37927e-09,2.80202e-10,0,0.00046,-0.00148463,-0.0147028,0.0111445,0.0123744,0.000372061,-1.20537e-05
80,1,-4.38678e-05,-1.32321e-06,0,7.33818e-09,-7.97643e-10,0,0.00046,-0.000269803,0.00495359,0.0307876,0.0127034,0.0011335,1.80717e-05
60,1,-1.57875e-05,9.1724e-06,0,4.04662e-09,-1.67354e-09,0,0.00048,-0.00624914,0.0128375,0.0313269,0.013234,0.000400831,-3.28708e-05
52,1,-5.05556e-05,2.61269e-05,0,8.42422e-09,-1.73172e-09,0,0.0005,0.0153951,-0.00324228,0.0494099,0.0136037,0.00120499,3.91278e-05
6,1,-7.30641e-05,-6.78111e-06,0,1.62926e-08,6.65021e-09,0,0.00056,-0.0775667,0.0575619,-0.11924,0.0143489,0.000563242,3.75182e-05
